City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,lukolela,-1.0605,17.1821,295.57,82,57,1.23,CD,1787096069
128,tosontsengel,48.7567,98.2839,283.03,87,100,1.09,MN,1787096070
129,banda aceh,5.5577,95.3222,299.7,81,89,6.66,ID,1787095594
130,ilulissat,69.2167,-51.1,281.16,93,100,0.51,GL,1787095743
131,general conesa,-40.1,-64.4333,285.58,40,21,5.71,AR,1787096073
132,thunder bay,48.4001,-89.3168,296.14,35,76,6.17,CA,1787095634
133,naze,28.3667,129.4833,300.66,90,31,6.3,JP,1787095762
134,punta alta,-38.8759,-62.0736,281.58,76,1,4.63,AR,1787096078
135,vallenar,-28.5708,-70.7581,289.21,62,84,0.46,CL,1787095575
136,labytnangi,66.6572,66.4183,285.92,68,34,4.27,RU,1787095659
137,kolwezi,-10.7148,25.4667,288.13,32,0,2.58,CD,1787096081
138,fremont,37.5483,-121.9886,302.84,59,56,3.4,US,1787096082
139,avarua,-21.2078,-159.775,296.18,73,99,4.12,CK,1787095752
140,howard springs,-12.497,131.047,298.1,85,6,3.63,AU,1787095751
141,alesund,62.4723,6.1549,285.24,81,0,4.63,NO,1787096085
142,al hudaydah,14.7978,42.9545,303.01,80,37,3.16,YE,1787096087
143,miri,4.4148,114.0089,300.23,94,100,1.54,MY,1787096088
144,morant bay,17.8815,-76.4093,300.52,80,82,4.27,JM,1787096089
145,abra pampa,-22.7205,-65.697,279.74,32,98,11.93,AR,1787096090
146,saudarkrokur,65.7461,-19.6394,280.77,91,12,0.81,IS,1787095764
147,pacific grove,36.6177,-121.9166,292.97,81,43,5.14,US,1787095777
148,metlili chaamba,32.2667,3.6333,308.67,13,31,3.09,DZ,1787096094
149,merritt island,28.5392,-80.672,304.85,77,73,3.09,US,1787096073
150,egilsstadir,65.2653,-14.3948,280.1,81,4,1.03,IS,1787095661
151,ancud,-41.8697,-73.8203,282.05,87,97,2.62,CL,1787095746
152,mount gambier,-37.8333,140.7667,285.11,94,100,4.42,AU,1787095705
153,as saffaniyah,27.9708,48.73,307.51,52,1,4.98,SA,1787096100
154,mutuali,-14.8706,37.0044,289.29,65,0,0.98,MZ,1787096101
155,san antonio de pale,-1.4014,5.6325,296.58,87,48,5.22,GQ,1787095590
156,kapuskasing,49.4169,-82.4331,294.2,60,71,3.09,CA,1787095455
157,kalabo,-14.97,22.6814,286.52,27,0,3.03,ZM,1787096104
158,college,64.8569,-147.8028,289.12,75,100,5.66,US,1787095763
159,juneau,58.3019,-134.4197,288.38,88,100,4.12,US,1787095753
160,mejit,10.2753,170.8646,301.75,76,24,4.07,MH,1787095790
161,corn island,12.1694,-83.0418,299.9,84,100,6.71,NI,1787095874
162,xam nua,20.4197,104.0439,293.98,100,100,0.43,LA,1787096110
163,christchurch,-43.5333,172.6333,284.4,84,100,5.66,NZ,1787096112
164,ulcinj,41.9294,19.2244,296.47,73,41,2.49,ME,1787096113
165,castillos,-34.1667,-53.8333,283.02,96,100,2.94,UY,1787096114
166,tandil,-37.3217,-59.1332,280.06,76,13,1.03,AR,1787095857
167,klaksvik,62.2266,-6.589,283.74,78,100,10.3,FO,1787096116
168,luderitz,-26.6481,15.1594,291.09,58,0,1.49,NA,1787095755
169,taro,-8.3862,115.28,290.91,90,100,0.84,ID,1787095747
170,port alfred,-33.5906,26.891,286.03,93,55,1.09,ZA,1787095689
171,lata,40.1629,-8.3327,294.37,91,0,1.4,PT,1787095740
172,saint-philippe,-21.3585,55.7679,295.03,86,43,6.02,RE,1787096121
173,amga,60.8953,131.9608,284.19,72,77,2.02,RU,1787095649
174,lesogorsk,56.0458,99.5136,286.05,98,100,1.66,RU,1787096123
